Date,Rain_mm,BOM_mm,Notes,Watered,Moisture
2026-02-01,,0,,No,0.00
2026-02-02,,0,,No,0.00
2026-02-03,,0,,No,0.00
2026-02-04,,0,,Yes,10.00
2026-02-05,,0,,No,8.57
2026-02-06,,0,,No,7.14
2026-02-07,,0,,No,5.71
2026-02-08,,0,,No,4.29
2026-02-09,,0,,No,2.29
2026-02-10,,0,,No,0.29
2026-02-11,,19.6,,No,10.00
2026-02-12,,0.2,,No,8.20
2026-02-13,,3.2,,No,9.40
2026-02-14,,11.2,,No,10.00
2026-02-15,,4,,No,10.00
2026-02-16,,13.2,,No,10.00
2026-02-17,,0.2,Start of Lucille St Gauge observations #,No,8.20
2026-02-18,0,0,#1,No,6.20
2026-02-19,0,0,#2,No,4.20
